data,sample_size,RMSE,MAE,time_took,kernel
airplane,14480,0.948721749,,803.908369,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,15280,0.982753444,,936.746902,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,80,0.707887902,,0.018664,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,880,0.886742848,,1.508318,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,1680,1.111304203,,3.807428,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,2480,0.920926613,,8.18564,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,3280,0.950925482,,15.318388,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,4080,1.044008287,,25.740873,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,4880,1.127944572,,40.179402,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,5680,1.061228515,,59.568898,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,6480,0.97656269,,84.953907,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,7280,1.018984116,,116.598096,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,8080,0.946675915,,155.650317,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,8880,1.02116641,,202.214279,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,9680,1.133772882,,257.688385,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,10480,0.953222623,,321.796097,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,11280,0.908462157,,394.85919,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,12080,0.946742217,,479.627127,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,12880,0.983355691,,576.308608,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,13680,0.953069992,,683.74208,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,14480,0.944954466,,804.347426,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,15280,0.928510026,,937.42642,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,80,0.786932243,,0.018784,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,880,1.780458408,,1.497838,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,1680,0.9270921,,3.808495,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,2480,1.047182387,,8.185362,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,3280,1.000463921,,15.324761,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,4080,1.156986809,,25.75088,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,4880,0.942871486,,40.148785,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,5680,0.955371715,,59.509153,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,6480,0.984994183,,84.873327,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,7280,1.026029639,,116.507388,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,8080,1.027848052,,155.649936,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,8880,1.00166023,,202.249017,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
