data,sample_size,RMSE,MAE,time_took,kernel
abalone,1040,2.348165344,1.61018305,22.189148,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1280,2.239735578,1.601661252,32.682804,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1520,2.289159271,1.625494975,35.25256,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1760,2.171446206,1.579733281,49.127303,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2000,2.315841835,1.582833278,65.785362,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2240,2.210154624,1.551961494,97.707266,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2480,2.017260478,1.468375257,107.578107,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2720,2.173336062,1.520672961,166.280895,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2960,2.228802849,1.562209223,167.123829,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,3200,2.190206445,1.560507416,197.363772,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,80,3.03534061,2.225790661,0.187734,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,320,2.555139392,1.863951391,1.845483,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,560,2.621240374,1.850880314,6.423655,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,800,2.035390307,1.487823099,15.469123,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1040,2.441172715,1.762783478,22.790232,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1280,2.448885368,1.696342302,29.805644,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1520,2.015900274,1.410681263,36.413999,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1760,2.248087204,1.517350721,49.085898,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2000,2.142781707,1.53293982,67.747474,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2240,2.259945699,1.601449762,100.261755,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2480,2.366113007,1.585719079,107.541882,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2720,2.25470655,1.563051316,133.458434,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2960,2.100638188,1.480733893,162.158802,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,3200,2.101273102,1.512999375,203.386763,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,80,3.03777641,2.232986734,0.156596,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,320,2.78908002,1.991492562,1.910859,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,560,2.410667627,1.653102013,7.782481,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,800,2.05987654,1.499591545,15.819894,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1040,2.026420566,1.422498425,23.003248,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1280,2.44496188,1.646834611,28.598667,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1520,2.155849978,1.489510892,37.927168,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
