"data","method","sample_size","time.taken","RMSE","MAE"
"SARCOS","alcray",41100,188.7157795,1.605682025,0.961458136
"SARCOS","alcray",41600,188.7040052,1.597889346,0.966278801
"SARCOS","alcray",42100,188.964509,1.571307437,0.957936309
"SARCOS","alcray",42600,188.7331722,1.546218416,0.966605574
"SARCOS","alcray",43100,188.7932429,1.588888946,0.964507017
"SARCOS","alcray",43600,188.3113985,1.520028874,0.946080545
"SARCOS","alcray",44100,189.6075888,1.469954757,0.912699103
"SARCOS","nn",100,0.421012402,16.35256701,8.494118
"SARCOS","nn",600,1.975152969,9.551963862,5.464904487
"SARCOS","nn",1100,3.413479328,7.797375827,4.607564129
"SARCOS","nn",1600,5.133158922,6.35266243,3.870740507
"SARCOS","nn",2100,7.023501396,6.199600942,3.639689705
"SARCOS","nn",2600,8.64363575,5.61957213,3.396307467
"SARCOS","nn",3100,10.63900185,4.768936688,2.984025119
"SARCOS","nn",3600,12.22334146,4.890455176,3.034953412
"SARCOS","nn",4100,14.10131025,4.857719382,2.933080653
"SARCOS","nn",4600,15.23620653,4.443682698,2.726508974
"SARCOS","nn",5100,15.09033585,4.457865029,2.679236079
"SARCOS","nn",5600,15.43042707,4.152020861,2.532069402
"SARCOS","nn",6100,15.701648,4.313478919,2.572419414
"SARCOS","nn",6600,16.32118011,4.210722518,2.496120337
"SARCOS","nn",7100,16.09003663,4.099338037,2.418448001
"SARCOS","nn",7600,15.94139791,3.82433476,2.292714109
"SARCOS","nn",8100,15.76217532,3.786362629,2.290264719
"SARCOS","nn",8600,16.18892694,3.808057927,2.243179661
"SARCOS","nn",9100,16.35359263,3.726660818,2.230072483
"SARCOS","nn",9600,16.7859087,3.625935686,2.162063106
"SARCOS","nn",10100,16.3564508,3.415758733,2.06831115
"SARCOS","nn",10600,16.43792176,3.522367324,2.042250555
"SARCOS","nn",11100,16.48238087,3.315574677,2.002439068
"SARCOS","nn",11600,16.36537099,3.294176407,1.956077457
"SARCOS","nn",12100,16.52437449,3.271969668,1.903620877
"SARCOS","nn",12600,16.5347383,3.164828834,1.898576605
"SARCOS","nn",13100,16.44513083,3.107761468,1.817713492
"SARCOS","nn",13600,16.4401772,3.289647324,1.889424778
"SARCOS","nn",14100,16.78466964,2.865000149,1.725695137
"SARCOS","nn",14600,16.70774245,3.02375392,1.767539636
"SARCOS","nn",15100,16.80431509,3.043695925,1.761687784
"SARCOS","nn",15600,16.74249911,2.931760194,1.740420922
"SARCOS","nn",16100,17.12511897,2.900215203,1.71536934
"SARCOS","nn",16600,17.169662,2.872774378,1.667346644
"SARCOS","nn",17100,16.77822471,2.839831128,1.624255691
"SARCOS","nn",17600,16.63878608,2.900775686,1.652583751
"SARCOS","nn",18100,17.20227122,2.866564857,1.61887765
"SARCOS","nn",18600,16.93526077,2.724790459,1.551895302
"SARCOS","nn",19100,17.15782237,2.66989667,1.554883801
"SARCOS","nn",19600,17.31195974,2.644212176,1.516527474
"SARCOS","nn",20100,17.61041617,2.606383141,1.518555348
"SARCOS","nn",20600,17.07990074,2.449173747,1.48082729
"SARCOS","nn",21100,16.99816084,2.508494952,1.468183253
"SARCOS","nn",21600,17.43542862,2.351770748,1.384346696
"SARCOS","nn",22100,17.45330811,2.579105969,1.450359811
"SARCOS","nn",22600,17.53643441,2.458058573,1.390797913
"SARCOS","nn",23100,17.46833611,2.379272324,1.365553483
"SARCOS","nn",23600,17.71620107,2.356566091,1.375373913
"SARCOS","nn",24100,17.41213846,2.29626274,1.342173999
"SARCOS","nn",24600,17.49479151,2.293312038,1.343835674
"SARCOS","nn",25100,17.47145176,2.266878081,1.309754431
"SARCOS","nn",25600,17.88341093,2.192937211,1.266194287
"SARCOS","nn",26100,17.40647292,2.130386426,1.233863116
"SARCOS","nn",26600,17.77990961,2.184756325,1.286746449
"SARCOS","nn",27100,17.8868134,2.297304262,1.271894677
"SARCOS","nn",27600,17.6525557,2.130416444,1.258519601
"SARCOS","nn",28100,17.74107218,2.135880955,1.232357638
"SARCOS","nn",28600,17.89805579,2.034342288,1.196287295
"SARCOS","nn",29100,18.22754526,2.00112886,1.167479149
"SARCOS","nn",29600,17.77979016,2.063559535,1.191726997
"SARCOS","nn",30100,17.99129891,2.04249041,1.190750095
"SARCOS","nn",30600,17.96635342,2.055461863,1.177219217
"SARCOS","nn",31100,18.02954006,1.945948664,1.147306729
"SARCOS","nn",31600,17.88171053,1.845445251,1.135598377
"SARCOS","nn",32100,18.17841148,1.91635518,1.146395006
"SARCOS","nn",32600,18.20237231,1.82430709,1.110732031
"SARCOS","nn",33100,18.3181839,2.01679107,1.116697794
"SARCOS","nn",33600,18.60944366,1.860963373,1.103946924
"SARCOS","nn",34100,17.96777487,1.911466602,1.100157532
"SARCOS","nn",34600,18.20539975,1.818225295,1.065804994
"SARCOS","nn",35100,18.40874314,1.822671224,1.071119779
"SARCOS","nn",35600,18.31828713,1.747719084,1.027121371
"SARCOS","nn",36100,18.47470856,1.794122072,1.048145
"SARCOS","nn",36600,18.62841463,1.811848536,1.047118141
"SARCOS","nn",37100,18.48823595,1.760206536,1.041434653
"SARCOS","nn",37600,18.5179503,1.638571698,0.99253028
"SARCOS","nn",38100,18.46390963,1.684482585,0.993758323
"SARCOS","nn",38600,18.72211289,1.655972088,0.996317702
"SARCOS","nn",39100,18.40022779,1.575404005,0.9588925
"SARCOS","nn",39600,18.20806766,1.642050728,0.994448049
"SARCOS","nn",40100,18.95086217,1.618737984,0.98311068
"SARCOS","nn",40600,18.74257588,1.614472018,0.961470365
"SARCOS","nn",41100,18.68325472,1.535383835,0.928809261
"SARCOS","nn",41600,18.69335008,1.59502041,0.937074986
"SARCOS","nn",42100,18.66343737,1.545802458,0.924063427
"SARCOS","nn",42600,18.67902112,1.486039386,0.905716187
"SARCOS","nn",43100,18.97149754,1.489746054,0.908639413
"SARCOS","nn",43600,19.1184392,1.571037699,0.910224317
"SARCOS","nn",44100,19.0179193,1.46684495,0.892826273
